,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,logdir
0,7200.0,1717357344,,False,1,6ab1aaac,2024-06-02_21-42-24,0.008002281188964844,0.008002281188964844,57368,DESKTOP-8J3QSBJ,127.0.0.1,0.008002281188964844,1,"[100, 102, 103, 105]",6ab1aaac
1,7500.0,1717357346,,False,1,805a589e,2024-06-02_21-42-26,0.004999399185180664,0.004999399185180664,55668,DESKTOP-8J3QSBJ,127.0.0.1,0.004999399185180664,1,"[102, 103, 105]",805a589e
2,7200.0,1717357348,,False,1,3b281a94,2024-06-02_21-42-28,0.0049991607666015625,0.0049991607666015625,26016,DESKTOP-8J3QSBJ,127.0.0.1,0.0049991607666015625,1,"[101, 102, 105]",3b281a94
3,7250.0,1717357350,,False,1,3fdd1dc6,2024-06-02_21-42-30,0.004999637603759766,0.004999637603759766,57888,DESKTOP-8J3QSBJ,127.0.0.1,0.004999637603759766,1,"[101, 103, 105]",3fdd1dc6
4,7250.0,1717357352,,False,1,e1a4f94a,2024-06-02_21-42-32,0.004999876022338867,0.004999876022338867,35552,DESKTOP-8J3QSBJ,127.0.0.1,0.004999876022338867,1,"[101, 103, 105]",e1a4f94a
5,7200.0,1717357354,,False,1,eb3a39bf,2024-06-02_21-42-34,0.004999399185180664,0.004999399185180664,25032,DESKTOP-8J3QSBJ,127.0.0.1,0.004999399185180664,1,"[101, 102, 105]",eb3a39bf
6,7250.0,1717357356,,False,1,cad1a0e1,2024-06-02_21-42-36,0.004999637603759766,0.004999637603759766,27104,DESKTOP-8J3QSBJ,127.0.0.1,0.004999637603759766,1,"[101, 103, 105]",cad1a0e1
7,7200.0,1717357358,,False,1,8690c853,2024-06-02_21-42-38,0.004998922348022461,0.004998922348022461,39072,DESKTOP-8J3QSBJ,127.0.0.1,0.004998922348022461,1,"[101, 102, 105]",8690c853
8,7250.0,1717357360,,False,1,bfa20203,2024-06-02_21-42-40,0.009000539779663086,0.009000539779663086,25224,DESKTOP-8J3QSBJ,127.0.0.1,0.009000539779663086,1,"[101, 103, 105]",bfa20203
9,7200.0,1717357362,,False,1,8b8815a7,2024-06-02_21-42-42,0.007001161575317383,0.007001161575317383,32052,DESKTOP-8J3QSBJ,127.0.0.1,0.007001161575317383,1,"[101, 102, 105]",8b8815a7
10,7250.0,1717357364,,False,1,dd6e4d0f,2024-06-02_21-42-44,0.004999399185180664,0.004999399185180664,51120,DESKTOP-8J3QSBJ,127.0.0.1,0.004999399185180664,1,"[101, 103, 105]",dd6e4d0f
11,7150.0,1717357366,,False,1,7c19e5e6,2024-06-02_21-42-46,0.00500178337097168,0.00500178337097168,37248,DESKTOP-8J3QSBJ,127.0.0.1,0.00500178337097168,1,"[104, 102, 103, 105]",7c19e5e6
12,7500.0,1717357368,,False,1,6302103d,2024-06-02_21-42-48,0.0059986114501953125,0.0059986114501953125,12840,DESKTOP-8J3QSBJ,127.0.0.1,0.0059986114501953125,1,"[102, 103, 105]",6302103d
